iter	Passed	Remaining
146	195390	1133797
147	196216	1129571
148	197074	1125570
149	198059	1122336
150	198899	1118314
151	199708	1114164
152	200540	1110181
153	201471	1106782
154	202390	1103354
155	203226	1099506
156	204102	1095914
157	205003	1092487
158	205904	1089090
159	206766	1085526
160	207663	1082171
161	208479	1078431
162	209358	1075047
163	210362	1072334
164	211298	1069297
165	212149	1065858
166	213037	1062638
167	213920	1059418
168	214823	1056321
169	215727	1053258
170	216588	1050009
171	217536	1047210
172	218496	1044491
173	219462	1041816
174	220398	1039021
175	221274	1035968
176	222231	1033311
177	223158	1030541
178	224135	1028017
179	225094	1025431
180	225989	1022570
181	227129	1020834
182	228036	1018066
183	228870	1014990
184	229781	1012280
185	230578	1009089
186	231479	1006379
187	232318	1003418
188	233166	1000517
189	234046	997775
190	234986	995307
191	235833	992464
192	236725	989830
193	237558	986967
194	238307	983783
195	239157	981034
196	240040	978438
197	240895	975748
198	241723	972966
199	242601	970406
200	243480	967865
201	244345	965284
202	245214	962737
203	246074	960172
204	246946	957669
205	247782	955043
206	248598	952361
207	249459	949863
208	250339	947455
209	251125	944709
210	252018	942382
211	252879	939947
212	253781	937682
213	254604	935137
214	255461	932733
215	256373	930541
216	257335	928542
217	258262	926427
218	259199	924360
219	260187	922483
220	261109	920383
221	262124	918616
222	263143	916873
223	264217	915324
224	265230	913571
225	266093	911310
226	266964	909091
227	267864	906981
228	268691	904632
229	269528	902334
230	270359	900026
231	271274	898012
232	272209	896072
233	273155	894177
234	274029	892052
235	274886	889885
236	275764	887798
237	276639	885711
238	277522	883661
239	278338	881405
240	279235	879416
241	280260	877839
242	281255	876174
243	282118	874105
244	283054	872269
245	283895	870151
246	284859	868417
247	285700	866316
248	286613	864443
249	287731	863195
250	288658	861375
251	289517	859362
252	290601	858022
253	291527	856219
254	292441	854389
255	293336	852510
256	294263	850730
257	295154	848856
258	296049	846999
259	296892	845002
260	297802	843204
261	298679	841317
262	299540	839395
263	300444	837602
264	301309	835708
265	302188	833858
266	303073	832032
267	303943	830173
268	304796	828277
269	305657	826407
270	306469	824413
271	307246	822335
272	308035	820300
273	308833	818295
274	309752	816620
275	310676	814962
276	311553	813189
277	312432	811425
278	313402	809902
279	314298	808195
280	315223	806569
281	316203	805085
282	317235	803738
283	318418	802774
284	319394	801288
285	320394	799864
286	321472	798641
287	322497	797286
288	323454	795765
289	324359	794122
290	325299	792568
291	326106	790696
292	327020	789091
293	327854	787295
294	328942	786116
295	329796	784381
296	330608	782550
297	331497	780909
298	332415	779340
299	333295	777689
300	334120	775915
301	335021	774320
302	335929	772747
303	336791	771074
304	337642	769381
305	338689	768138
306	339422	766188
307	340214	764377
308	341092	762765
309	341897	760997
310	342721	759275
311	343611	757708
312	344542	756231
313	345400	754601
314	346313	753093
315	347138	751401
316	348029	749856
317	348882	748231
318	349699	746537
319	350505	744825
320	351374	743249
321	352227	741647
322	353114	740118
323	353909	738403
324	354813	736920
325	355723	735452
326	356596	733913
327	357454	732345
328	358299	730756
329	359106	729094
330	359958	727530
331	360827	726002
332	361677	724440
333	362527	722884
334	363464	721503
335	364367	720059
336	365355	718784
337	366318	717463
338	367521	716612
339	368498	715321
340	369425	713933
341	370441	712719
342	371324	711253
343	372232	709839
344	373081	708314
345	373923	706781
346	374783	705285
347	375673	703847
348	376542	702375
349	377356	700804
350	378243	699373
351	379082	697856
352	379946	696389
353	380863	695022
354	381775	693648
355	382674	692253
356	383562	690842
357	384466	689461
358	385322	687998
359	386200	686578
360	386982	684991
361	387847	683554
362	388651	682014
363	389531	680609
364	390353	679108
365	391212	677673
366	392057	676218
367	392957	674861
368	393861	673514
369	394758	672157
370	395660	670809
371	396548	669442
372	397642	668423
373	398488	666988
374	399264	665441
